dataset,filter,bytes,num_queries,freq,fpr,query_dist,model_accuracy
ember,plbf,1075360.0,10000000,,0.0122510823109286,unif,0.819
url,plbf,271584.0,10000000,,0.0070854448181205,unif,0.9419
ember,plbf,1075360.0,10000000,,0.0122510823109286,unif,0.819
url,plbf,271584.0,10000000,,0.0070854448181205,unif,0.9419
ember,plbf,1075360.0,10000000,,0.0122510823109286,unif,0.819
url,plbf,271584.0,10000000,,0.0070854448181205,unif,0.9419
ember,plbf,1075360.0,10000000,,0.0122510823109286,unif,0.819
url,plbf,271584.0,10000000,,0.0070854448181205,unif,0.9419
ember,plbf,1075360.0,10000000,,0.0122510823109286,unif,0.819
url,plbf,271584.0,10000000,,0.0070854448181205,unif,0.9419
url,adabf,271584.0,10000000,,0.0098597358308241,unif,0.9419
url,adabf,271584.0,10000000,,0.00985973583082411,unif,0.9419
