dataset,filter,bytes,query_dist,num_queries,model_accuracy,fpr
url,plbf,271584.0,unif,10000000,0.9419,0.0070854448181205
url,adabf,271584.0,unif,10000000,0.9419,0.0089145548920329
url,plbf,304992.0,unif,10000000,0.9419,8.190456219048357e-05
url,adabf,304992.0,unif,10000000,0.9419,0.0001200410692407
url,plbf,338400.0,unif,10000000,0.9419,0.0
url,adabf,338400.0,unif,10000000,0.9419,6.853330521087136e-05
url,plbf,371808.0,unif,10000000,0.9419,0.0
ember,plbf,1075360.0,unif,10000000,0.819,0.01225108231092861
ember,adabf,1075360.0,unif,10000000,0.819,0.024602781306075308
ember,plbf,1207712.0,unif,10000000,0.819,0.0022249970125230644
ember,adabf,1207712.0,unif,10000000,0.819,0.0021662727021708214
ember,plbf,1340064.0,unif,10000000,0.819,0.0004614541862328371
ember,adabf,1340064.0,unif,10000000,0.819,0.0005615229301185713
ember,plbf,1472416.0,unif,10000000,0.819,0.00013294408371838804
ember,adabf,1472416.0,unif,10000000,0.819,0.00019590526021615945
ember,plbf,1604768.0,unif,10000000,0.819,3.338928204046501e-05
ember,adabf,1604768.0,unif,10000000,0.819,0.00010575839464754565
