dataset,filter,bytes,num_queries,freq,fpr
ember,plbf,1075360.0,10000000,0.02,0.0540519391996807
url,plbf,271584.0,10000000,0.02,0.0389835320183771
ember,plbf,1075360.0,10000000,0.04,0.0886622471052385
url,plbf,271584.0,10000000,0.04,0.0673304093766028
ember,plbf,1075360.0,10000000,0.06,0.1184379691608397
url,plbf,271584.0,10000000,0.06,0.0925170507840729
ember,plbf,1075360.0,10000000,0.08,0.1452727526846506
url,plbf,271584.0,10000000,0.08,0.1159169129040313
ember,plbf,1075360.0,10000000,0.1,0.1649286487938872
url,plbf,271584.0,10000000,0.1,0.1334479943686818
ember,adabf,1075360.0,10000000,0.02,0.06973975851326
url,adabf,271584.0,10000000,0.02,0.0416313861973867
ember,adabf,1075360.0,10000000,0.04,0.102704691267274
url,adabf,271584.0,10000000,0.04,0.0697645971023461
ember,adabf,1075360.0,10000000,0.06,0.1311514756740071
url,adabf,271584.0,10000000,0.06,0.0947647317953393
ember,adabf,1075360.0,10000000,0.08,0.1568345146854761
url,adabf,271584.0,10000000,0.08,0.117986845008107
ember,adabf,1075360.0,10000000,0.1,0.1757004385509462
url,adabf,271584.0,10000000,0.1,0.1353975265403852
url,plbf,304992.0,10000000,0.02,0.0293161939435138
ember,plbf,1207712.0,10000000,0.02,0.0407032479032349
url,plbf,304992.0,10000000,0.04,0.0584655436614463
ember,plbf,1207712.0,10000000,0.04,0.0767100584081881
url,plbf,304992.0,10000000,0.06,0.0843435981250089
ember,plbf,1207712.0,10000000,0.06,0.1076347846617497
url,plbf,304992.0,10000000,0.08,0.1083436306882088
ember,plbf,1207712.0,10000000,0.08,0.1354732979636786
url,plbf,304992.0,10000000,0.1,0.1263105481876958
ember,plbf,1207712.0,10000000,0.1,0.1558468861282868
url,adabf,304992.0,10000000,0.02,0.0295360953254537
ember,adabf,1207712.0,10000000,0.02,0.0409688863104992
url,adabf,304992.0,10000000,0.04,0.0586664683882442
ember,adabf,1207712.0,10000000,0.04,0.0769488898440547
url,adabf,304992.0,10000000,0.06,0.0845276959436095
ember,adabf,1207712.0,10000000,0.06,0.1078497670111414
url,adabf,304992.0,10000000,0.08,0.1085142022417511
ember,adabf,1207712.0,10000000,0.08,0.1356636156938803
url,adabf,304992.0,10000000,0.1,0.1264728407726165
ember,adabf,1207712.0,10000000,0.1,0.1560147347846165
ember,plbf,1340064.0,10000000,0.02,0.0383471962374585
url,adabf,338400.0,10000000,0.02,0.0293228547914173
url,adabf,338400.0,10000000,0.04,0.0584725326407471
ember,plbf,1340064.0,10000000,0.04,0.0746092465006433
url,adabf,338400.0,10000000,0.06,0.0843481644488036
url,adabf,338400.0,10000000,0.08,0.1083488425983656
url,adabf,338400.0,10000000,0.1,0.1263166131935206
ember,plbf,1340064.0,10000000,0.06,0.1057372589730442
ember,plbf,1340064.0,10000000,0.08,0.1337529201181029
ember,plbf,1340064.0,10000000,0.1,0.1542427463626113
url,adabf,371808.0,10000000,0.02,0.029388891443721
url,adabf,371808.0,10000000,0.04,0.0585320007007958
ember,adabf,1340064.0,10000000,0.02,0.0385344173474422
url,adabf,371808.0,10000000,0.06,0.0844041907681749
ember,adabf,1340064.0,10000000,0.04,0.0747785176210929
url,adabf,371808.0,10000000,0.08,0.1084004951247358
ember,adabf,1340064.0,10000000,0.06,0.1058847124474018
url,adabf,371808.0,10000000,0.1,0.12636413786941
ember,adabf,1340064.0,10000000,0.08,0.1338900048178719
ember,adabf,1340064.0,10000000,0.1,0.1543709378900701
url,adabf,405216.0,10000000,0.02,0.029299328834759
url,adabf,405216.0,10000000,0.04,0.0584506422836602
ember,plbf,1472416.0,10000000,0.02,0.0379046805412933
url,adabf,405216.0,10000000,0.06,0.0843281710185859
url,adabf,405216.0,10000000,0.08,0.1083305427340979
ember,plbf,1472416.0,10000000,0.04,0.0742147524661514
url,adabf,405216.0,10000000,0.1,0.1262986384766933
ember,plbf,1472416.0,10000000,0.06,0.1053797081579283
