dataset,filter,bytes,query_dist,num_queries,model_accuracy,fpr
ember,plbf,1075360.0,unif,10000000,0.819,0.0122510823109286
url,plbf,271584.0,unif,10000000,0.9419,0.0070854448181205
ember,adabf,1075360.0,unif,10000000,0.819,0.0240818567709441
url,adabf,271584.0,unif,10000000,0.9419,0.009022914202197
ember,plbf,1207712.0,unif,10000000,0.819,0.002224997012523
url,plbf,304992.0,unif,10000000,0.9419,8.190456219048357e-05
url,adabf,304992.0,unif,10000000,0.9419,0.0002395976339847
ember,adabf,1207712.0,unif,10000000,0.819,0.002410480614131
url,plbf,338400.0,unif,10000000,0.9419,0.0
ember,plbf,1340064.0,unif,10000000,0.819,0.0004614541862328
url,adabf,338400.0,unif,10000000,0.9419,8.600703525391905e-05
url,plbf,371808.0,unif,10000000,0.9419,0.0
url,adabf,371808.0,unif,10000000,0.9419,0.0001329551632643
ember,adabf,1340064.0,unif,10000000,0.819,0.0005996676150913
url,plbf,405216.0,unif,10000000,0.9419,0.0
url,adabf,405216.0,unif,10000000,0.9419,6.95969410168964e-05
ember,plbf,1472416.0,unif,10000000,0.819,0.0001329440837183
url,plbf,438624.0,unif,10000000,0.9419,0.0
url,adabf,438624.0,unif,10000000,0.9419,4.087797998954496e-05
ember,adabf,1472416.0,unif,10000000,0.819,0.0001847127417008
url,plbf,472302.0,unif,10000000,0.9419,0.0
url,adabf,472302.0,unif,10000000,0.9419,4.087797998954496e-05
ember,plbf,1604768.0,unif,10000000,0.819,3.338928204046501e-05
ember,adabf,1604768.0,unif,10000000,0.819,9.136537252381348e-05
ember,plbf,1737120.0,unif,10000000,0.819,9.59714772769533e-06
ember,adabf,1737120.0,unif,10000000,0.819,7.597237644392499e-05
ember,plbf,1869472.0,unif,10000000,0.819,4.998537427948582e-06
ember,adabf,1869472.0,unif,10000000,0.819,4.778397325537015e-05
url,plbf,271440.0,unif,10000000,0.9419,0.0074427939762587
url,adabf,271440.0,unif,10000000,0.9419,0.0086938823901954
url,plbf,304848.0,unif,10000000,0.9419,9.11805464480542e-06
url,adabf,304848.0,unif,10000000,0.9419,0.0002168126923699
url,plbf,338256.0,unif,10000000,0.9419,0.0
url,adabf,338256.0,unif,10000000,0.9419,0.0001420707934965
url,plbf,371664.0,unif,10000000,0.9419,0.0
url,adabf,371664.0,unif,10000000,0.9419,4.087797998954496e-05
url,plbf,405072.0,unif,10000000,0.9419,0.0
url,adabf,405072.0,unif,10000000,0.9419,5.045115029382477e-05
url,plbf,438480.0,unif,10000000,0.9419,0.0
url,adabf,438480.0,unif,10000000,0.9419,5.151482456846837e-05
url,plbf,471888.0,unif,10000000,0.9419,0.0
url,adabf,471888.0,unif,10000000,0.9419,0.0001709358593956
ember,plbf,1075360.0,zipf,10000000,0.819,0.0702499568966434
url,plbf,271440.0,zipf,10000000,0.9419,0.0997132019799745
ember,adabf,1075360.0,zipf,10000000,0.819,0.015797908445924
url,adabf,271440.0,zipf,10000000,0.9419,0.0901881669784621
ember,plbf,1207712.0,zipf,10000000,0.819,0.007730004696726
url,plbf,304848.0,zipf,10000000,0.9419,0.0
url,adabf,304848.0,zipf,10000000,0.9419,7.835288797551808e-06
ember,adabf,1207712.0,zipf,10000000,0.819,0.000184261967872
url,plbf,338256.0,zipf,10000000,0.9419,0.0
url,adabf,338256.0,zipf,10000000,0.9419,1.0820128423731154e-05
ember,plbf,1340064.0,zipf,10000000,0.819,2.8616560976168128e-05
url,plbf,371664.0,zipf,10000000,0.9419,0.0
url,adabf,371664.0,zipf,10000000,0.9419,0.0169283570888595
ember,adabf,1340064.0,zipf,10000000,0.819,0.0001619481388267
url,plbf,405072.0,zipf,10000000,0.9419,0.0
url,adabf,405072.0,zipf,10000000,0.9419,5.223539507681401e-06
ember,plbf,1472416.0,zipf,10000000,0.819,5.723443223443224e-06
url,plbf,438480.0,zipf,10000000,0.9419,0.0
url,adabf,438480.0,zipf,10000000,0.9419,5.223539507681401e-06
ember,adabf,1472416.0,zipf,10000000,0.819,1.7170398461990175e-06
url,plbf,471888.0,zipf,10000000,0.9419,0.0
url,adabf,471888.0,zipf,10000000,0.9419,5.96975498260003e-06
ember,plbf,1604768.0,zipf,10000000,0.819,1.1446938859610162e-06
ember,adabf,1604768.0,zipf,10000000,0.819,2.861729801195631e-06
ember,plbf,1737120.0,zipf,10000000,0.819,0.0
ember,adabf,1737120.0,zipf,10000000,0.819,1.1446938859610162e-06
ember,plbf,1869472.0,zipf,10000000,0.819,0.0
ember,adabf,1869472.0,zipf,10000000,0.819,5.723472705617187e-07
