dataset,freq,size,fpr,throughput,num_queries,query_dist
url,0.02,46706,0.0286568702260603,23300.124297758248,10000000,
url,0.04,46706,0.0542036864490393,23442.792409044545,10000000,
url,0.06,46706,0.0771241705295344,23464.80745505887,10000000,
url,0.08,46706,0.0978061267929348,23564.304857119037,10000000,
url,0.1,46706,0.1165589977983688,23636.11927262141,10000000,
url,0.02,46706,0.0286568702260603,23123.79384307168,10000000,
url,0.04,46706,0.0542036864490393,23148.200250759972,10000000,
url,0.06,46706,0.0771241705295344,23236.935118305344,10000000,
url,0.08,46706,0.0978061267929348,23373.423203163013,10000000,
url,0.1,46706,0.1165589977983688,23417.73197117189,10000000,
url,0.02,46706,0.0286568702260603,23189.90092702072,10000000,
url,0.04,46706,0.0542036864490393,23278.41436047205,10000000,
url,0.06,46706,0.0771241705295344,23407.195211107155,10000000,
url,0.08,46706,0.0978061267929348,23503.96324379057,10000000,
url,0.1,46706,0.1165589977983688,23525.0797862655,10000000,
url,,265661,0.0,19855.33726460147,10000000,unif
url,,265661,0.0,19709.560822152136,10000000,unif
url,,265661,0.0,19735.583336690193,10000000,unif
